platform_number,profile_index,juld,level_index,PRES,TEMP,PSAL,PRES_QC,TEMP_QC,PSAL_QC,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
1901765,20,2025-08-02 18:35:37+00:00,0,4.099999904632568,21.22900009155273,35.67900085449219,1,1,1,4.090000152587891,21.22900009155273,35.67900085449219
1901765,20,2025-08-02 18:35:37+00:00,1,6.0,21.22900009155273,35.678001403808594,1,1,1,5.989999771118164,21.22900009155273,35.678001403808594
1901765,20,2025-08-02 18:35:37+00:00,2,7.900000095367432,21.20199966430664,35.6870002746582,1,1,1,7.889999866485596,21.20199966430664,35.6870002746582
1901765,20,2025-08-02 18:35:37+00:00,3,10.0,21.11599922180176,35.7140007019043,1,1,1,9.989999771118164,21.11599922180176,35.7140007019043
1901765,20,2025-08-02 18:35:37+00:00,4,12.0,21.076000213623047,35.724998474121094,1,1,1,11.989999771118164,21.076000213623047,35.724998474121094
1901765,20,2025-08-02 18:35:37+00:00,5,14.0,21.05900001525879,35.729000091552734,1,1,1,13.989999771118164,21.05900001525879,35.729000091552734
1901765,20,2025-08-02 18:35:37+00:00,6,16.0,21.027999877929688,35.737998962402344,1,1,1,15.989999771118164,21.027999877929688,35.737998962402344
1901765,20,2025-08-02 18:35:37+00:00,7,18.0,21.0,35.74599838256836,1,1,1,17.989999771118164,21.0,35.74599838256836
1901765,20,2025-08-02 18:35:37+00:00,8,20.0,20.98600006103516,35.750999450683594,1,1,1,19.989999771118164,20.98600006103516,35.750999450683594
1901765,20,2025-08-02 18:35:37+00:00,9,22.0,20.965999603271484,35.75899887084961,1,1,1,21.989999771118164,20.965999603271484,35.75899887084961
1901765,20,2025-08-02 18:35:37+00:00,10,24.0,20.95199966430664,35.763999938964844,1,1,1,23.989999771118164,20.95199966430664,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,11,26.0,20.94599914550781,35.763999938964844,1,1,1,25.989999771118164,20.94599914550781,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,12,28.100000381469727,20.94099998474121,35.763999938964844,1,1,1,28.09000015258789,20.94099998474121,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,13,30.0,20.93899917602539,35.763999938964844,1,1,1,29.989999771118164,20.93899917602539,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,14,32.0,20.93899917602539,35.763999938964844,1,1,1,31.989999771118164,20.93899917602539,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,15,34.0,20.937000274658203,35.763999938964844,1,1,1,33.9900016784668,20.937000274658203,35.763999938964844
1901765,20,2025-08-02 18:35:37+00:00,16,36.0,20.934999465942383,35.76499938964844,1,1,1,35.9900016784668,20.934999465942383,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,17,38.0,20.93099975585937,35.76499938964844,1,1,1,37.9900016784668,20.93099975585937,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,18,40.0,20.92799949645996,35.76499938964844,1,1,1,39.9900016784668,20.92799949645996,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,19,42.0,20.92099952697754,35.76499938964844,1,1,1,41.9900016784668,20.92099952697754,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,20,44.0,20.91399955749512,35.76499938964844,1,1,1,43.9900016784668,20.91399955749512,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,21,46.0,20.90900039672852,35.76499938964844,1,1,1,45.9900016784668,20.90900039672852,35.76499938964844
1901765,20,2025-08-02 18:35:37+00:00,22,48.0,20.905000686645508,35.76599884033203,1,1,1,47.9900016784668,20.905000686645508,35.76599884033203
1901765,20,2025-08-02 18:35:37+00:00,23,50.0,20.902999877929688,35.76599884033203,1,1,1,49.9900016784668,20.902999877929688,35.76599884033203
1901765,20,2025-08-02 18:35:37+00:00,24,52.0,20.900999069213867,35.76599884033203,1,1,1,51.9900016784668,20.900999069213867,35.76599884033203
1901765,20,2025-08-02 18:35:37+00:00,25,54.0,20.89900016784668,35.76599884033203,1,1,1,53.9900016784668,20.89900016784668,35.76599884033203
1901765,20,2025-08-02 18:35:37+00:00,26,56.0,20.89900016784668,35.766998291015625,1,1,1,55.9900016784668,20.89900016784668,35.766998291015625
1901765,20,2025-08-02 18:35:37+00:00,27,58.0,20.89699935913086,35.766998291015625,1,1,1,57.9900016784668,20.89699935913086,35.766998291015625
1901765,20,2025-08-02 18:35:37+00:00,28,60.0,20.895999908447266,35.766998291015625,1,1,1,59.9900016784668,20.895999908447266,35.766998291015625
1901765,20,2025-08-02 18:35:37+00:00,29,62.0,20.895000457763672,35.766998291015625,1,1,1,61.9900016784668,20.895000457763672,35.766998291015625
1901765,20,2025-08-02 18:35:37+00:00,30,64.0,20.892000198364254,35.768001556396484,1,1,1,63.9900016784668,20.892000198364254,35.768001556396484
1901765,20,2025-08-02 18:35:37+00:00,31,66.0,20.88599967956543,35.76900100708008,1,1,1,65.98999786376953,20.88599967956543,35.76900100708008
1901765,20,2025-08-02 18:35:37+00:00,32,68.0,20.881999969482425,35.77000045776367,1,1,1,67.98999786376953,20.881999969482425,35.77000045776367
