platform_number,profile_index,juld,level_index,PRES,TEMP,PSAL,PRES_QC,TEMP_QC,PSAL_QC,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
1901918,1,2025-01-17 23:35:37.999999+00:00,0,10.100000381469728,28.62700080871582,34.9640007019043,1,1,1,10.100000381469728,28.62700080871582,34.9640007019043
1901918,1,2025-01-17 23:35:37.999999+00:00,1,15.100000381469728,28.625999450683597,34.96500015258789,1,1,1,15.100000381469728,28.625999450683597,34.96500015258789
1901918,1,2025-01-17 23:35:37.999999+00:00,2,19.399999618530277,28.62299919128418,34.96200180053711,1,1,1,19.399999618530277,28.62299919128418,34.96200180053711
1901918,1,2025-01-17 23:35:37.999999+00:00,3,25.600000381469727,28.53899955749512,34.96200180053711,1,1,1,25.600000381469727,28.53899955749512,34.96200180053711
1901918,1,2025-01-17 23:35:37.999999+00:00,4,28.799999237060547,28.5049991607666,34.96799850463867,1,1,1,28.799999237060547,28.5049991607666,34.96799850463867
1901918,1,2025-01-17 23:35:37.999999+00:00,5,35.599998474121094,28.424999237060547,34.979000091552734,1,1,1,35.599998474121094,28.424999237060547,34.979000091552734
1901918,1,2025-01-17 23:35:37.999999+00:00,6,40.59999847412109,28.257999420166016,34.9900016784668,1,1,1,40.59999847412109,28.257999420166016,34.9900016784668
1901918,1,2025-01-17 23:35:37.999999+00:00,7,49.900001525878906,26.99799919128418,35.051998138427734,1,1,1,49.900001525878906,26.99799919128418,35.051998138427734
1901918,1,2025-01-17 23:35:37.999999+00:00,8,60.59999847412109,25.77899932861328,35.09199905395508,1,1,1,60.59999847412109,25.77899932861328,35.09199905395508
1901918,1,2025-01-17 23:35:37.999999+00:00,9,70.5999984741211,25.086000442504883,35.08700180053711,1,1,1,70.5999984741211,25.086000442504883,35.08700180053711
1901918,1,2025-01-17 23:35:37.999999+00:00,10,79.9000015258789,24.54400062561035,35.141998291015625,1,1,1,79.9000015258789,24.54400062561035,35.141998291015625
1901918,1,2025-01-17 23:35:37.999999+00:00,11,90.4000015258789,24.177000045776367,35.19300079345703,1,1,1,90.4000015258789,24.177000045776367,35.19300079345703
1901918,1,2025-01-17 23:35:37.999999+00:00,12,99.9000015258789,23.996999740600582,35.209999084472656,1,1,1,99.9000015258789,23.996999740600582,35.209999084472656
1901918,1,2025-01-17 23:35:37.999999+00:00,13,110.5,23.73500061035156,35.2239990234375,1,1,1,110.5,23.73500061035156,35.2239990234375
1901918,1,2025-01-17 23:35:37.999999+00:00,14,119.5999984741211,23.299999237060547,35.26900100708008,1,1,1,119.5999984741211,23.299999237060547,35.26900100708008
1901918,1,2025-01-17 23:35:37.999999+00:00,15,130.10000610351562,23.072999954223636,35.30799865722656,1,1,1,130.10000610351562,23.072999954223636,35.30799865722656
1901918,1,2025-01-17 23:35:37.999999+00:00,16,140.39999389648438,22.917999267578125,35.31800079345703,1,1,1,140.39999389648438,22.917999267578125,35.31800079345703
1901918,1,2025-01-17 23:35:37.999999+00:00,17,150.8000030517578,22.577999114990234,35.345001220703125,1,1,1,150.8000030517578,22.577999114990234,35.345001220703125
1901918,1,2025-01-17 23:35:37.999999+00:00,18,160.1999969482422,22.124000549316406,35.36100006103516,1,1,1,160.1999969482422,22.124000549316406,35.36100006103516
1901918,1,2025-01-17 23:35:37.999999+00:00,19,170.5,21.530000686645508,35.39899826049805,1,1,1,170.5,21.530000686645508,35.39899826049805
1901918,1,2025-01-17 23:35:37.999999+00:00,20,180.3999938964844,20.89800071716309,35.44200134277344,1,1,1,180.3999938964844,20.89800071716309,35.44200134277344
1901918,1,2025-01-17 23:35:37.999999+00:00,21,190.6000061035156,20.559999465942383,35.47700119018555,1,1,1,190.6000061035156,20.559999465942383,35.47700119018555
1901918,1,2025-01-17 23:35:37.999999+00:00,22,200.5,19.989999771118164,35.5260009765625,1,1,1,200.5,19.989999771118164,35.5260009765625
1901918,1,2025-01-17 23:35:37.999999+00:00,23,220.1000061035156,18.961000442504883,35.58599853515625,1,1,1,220.1000061035156,18.961000442504883,35.58599853515625
1901918,1,2025-01-17 23:35:37.999999+00:00,24,240.6000061035156,18.141000747680664,35.617000579833984,1,1,1,240.6000061035156,18.141000747680664,35.617000579833984
1901918,1,2025-01-17 23:35:37.999999+00:00,25,260.0,16.576000213623047,35.57500076293945,1,1,1,260.0,16.576000213623047,35.57500076293945
1901918,1,2025-01-17 23:35:37.999999+00:00,26,280.29998779296875,15.121999740600586,35.32699966430664,1,1,1,280.29998779296875,15.121999740600586,35.32699966430664
1901918,1,2025-01-17 23:35:37.999999+00:00,27,300.20001220703125,15.072999954223633,35.44300079345703,1,1,1,300.20001220703125,15.072999954223633,35.44300079345703
1901918,1,2025-01-17 23:35:37.999999+00:00,28,330.3999938964844,13.637999534606934,35.20399856567383,1,1,1,330.3999938964844,13.637999534606934,35.20399856567383
1901918,1,2025-01-17 23:35:37.999999+00:00,29,359.70001220703125,12.960000038146973,35.13199996948242,1,1,1,359.70001220703125,12.960000038146973,35.13199996948242
1901918,1,2025-01-17 23:35:37.999999+00:00,30,399.8999938964844,12.30500030517578,35.0989990234375,1,1,1,399.8999938964844,12.30500030517578,35.0989990234375
1901918,1,2025-01-17 23:35:37.999999+00:00,31,449.7000122070313,11.20400047302246,34.95600128173828,1,1,1,449.7000122070313,11.20400047302246,34.95600128173828
1901918,1,2025-01-17 23:35:37.999999+00:00,32,500.2000122070313,10.335000038146973,34.834999084472656,1,1,1,500.2000122070313,10.335000038146973,34.834999084472656
1901918,1,2025-01-17 23:35:37.999999+00:00,33,550.0999755859375,9.468000411987305,34.72800064086914,1,1,1,550.0999755859375,9.468000411987305,34.72800064086914
1901918,1,2025-01-17 23:35:37.999999+00:00,34,599.9000244140625,8.6899995803833,34.654998779296875,1,1,1,599.9000244140625,8.6899995803833,34.654998779296875
1901918,1,2025-01-17 23:35:37.999999+00:00,35,650.5,7.84499979019165,34.595001220703125,1,1,1,650.5,7.84499979019165,34.595001220703125
1901918,1,2025-01-17 23:35:37.999999+00:00,36,700.2999877929688,7.230999946594238,34.57899856567383,1,1,1,700.2999877929688,7.230999946594238,34.57899856567383
1901918,1,2025-01-17 23:35:37.999999+00:00,37,749.7999877929688,6.702000141143799,34.57699966430664,1,1,1,749.7999877929688,6.702000141143799,34.57699966430664
1901918,1,2025-01-17 23:35:37.999999+00:00,38,800.2999877929688,6.267000198364258,34.57899856567383,1,1,1,800.2999877929688,6.267000198364258,34.57899856567383
1901918,1,2025-01-17 23:35:37.999999+00:00,39,850.4000244140625,5.769000053405762,34.57899856567383,1,1,1,850.4000244140625,5.769000053405762,34.57899856567383
1901918,1,2025-01-17 23:35:37.999999+00:00,40,899.5999755859375,5.565999984741211,34.62200164794922,1,1,1,899.5999755859375,5.565999984741211,34.62200164794922
1901918,1,2025-01-17 23:35:37.999999+00:00,41,950.0999755859376,5.232999801635742,34.63100051879883,1,1,1,950.0999755859376,5.232999801635742,34.63100051879883
1901918,1,2025-01-17 23:35:37.999999+00:00,42,1000.2999877929688,5.033999919891357,34.654998779296875,1,1,1,1000.2999877929688,5.033999919891357,34.654998779296875
1901918,1,2025-01-17 23:35:37.999999+00:00,43,1050.300048828125,4.828000068664551,34.66600036621094,1,1,1,1050.300048828125,4.828000068664551,34.66600036621094
1901918,1,2025-01-17 23:35:37.999999+00:00,44,1100.300048828125,4.607999801635742,34.66600036621094,1,1,1,1100.300048828125,4.607999801635742,34.66600036621094
1901918,1,2025-01-17 23:35:37.999999+00:00,45,1150.0999755859375,4.439000129699707,34.67100143432617,1,1,1,1150.0999755859375,4.439000129699707,34.67100143432617
1901918,1,2025-01-17 23:35:37.999999+00:00,46,1199.800048828125,4.288000106811523,34.66999816894531,1,1,1,1199.800048828125,4.288000106811523,34.66999816894531
1901918,1,2025-01-17 23:35:37.999999+00:00,47,1250.300048828125,4.118000030517578,34.680999755859375,1,1,1,1250.300048828125,4.118000030517578,34.680999755859375
1901918,1,2025-01-17 23:35:37.999999+00:00,48,1299.9000244140625,3.910000085830689,34.67900085449219,1,1,1,1299.9000244140625,3.910000085830689,34.67900085449219
1901918,1,2025-01-17 23:35:37.999999+00:00,49,1349.5,3.732000112533569,34.67499923706055,1,1,1,1349.5,3.732000112533569,34.67499923706055
1901918,1,2025-01-17 23:35:37.999999+00:00,50,1400.199951171875,3.5169999599456787,34.678001403808594,1,1,1,1400.199951171875,3.5169999599456787,34.678001403808594
1901918,1,2025-01-17 23:35:37.999999+00:00,51,1499.5999755859375,3.1600000858306885,34.680999755859375,1,1,1,1499.5999755859375,3.1600000858306885,34.680999755859375
1901918,1,2025-01-17 23:35:37.999999+00:00,52,1599.800048828125,2.933000087738037,34.696998596191406,1,1,1,1599.800048828125,2.933000087738037,34.696998596191406
1901918,1,2025-01-17 23:35:37.999999+00:00,53,1700.0999755859375,2.7850000858306885,34.70800018310547,1,1,1,1700.0999755859375,2.7850000858306885,34.70800018310547
1901918,1,2025-01-17 23:35:37.999999+00:00,54,1799.9000244140625,2.627000093460083,34.715999603271484,1,1,1,1799.9000244140625,2.627000093460083,34.715999603271484
1901918,1,2025-01-17 23:35:37.999999+00:00,55,1899.699951171875,2.496000051498413,34.724998474121094,1,1,1,1899.699951171875,2.496000051498413,34.724998474121094
1902675,37,2025-01-31 14:01:29.999999+00:00,0,0.3000000119209289,28.892000198364254,34.21799850463867,1,1,1,0.3000000119209289,28.892000198364254,34.21799850463867
1902675,37,2025-01-31 14:01:29.999999+00:00,1,1.100000023841858,28.891000747680664,34.22100067138672,1,1,1,1.100000023841858,28.891000747680664,34.22100067138672
1902675,37,2025-01-31 14:01:29.999999+00:00,2,2.0,28.89299964904785,34.220001220703125,1,1,1,2.0,28.89299964904785,34.220001220703125
1902675,37,2025-01-31 14:01:29.999999+00:00,3,3.0,28.89699935913086,34.21799850463867,1,1,1,3.0,28.89699935913086,34.21799850463867
1902675,37,2025-01-31 14:01:29.999999+00:00,4,3.799999952316284,28.89800071716309,34.21900177001953,1,1,1,3.799999952316284,28.89800071716309,34.21900177001953
1902675,37,2025-01-31 14:01:29.999999+00:00,5,4.800000190734863,28.89699935913086,34.220001220703125,1,1,1,4.800000190734863,28.89699935913086,34.220001220703125
1902675,37,2025-01-31 14:01:29.999999+00:00,6,5.800000190734863,28.89699935913086,34.220001220703125,1,1,1,5.800000190734863,28.89699935913086,34.220001220703125
1902675,37,2025-01-31 14:01:29.999999+00:00,7,6.800000190734863,28.89900016784668,34.21900177001953,1,1,1,6.800000190734863,28.89900016784668,34.21900177001953
1902675,37,2025-01-31 14:01:29.999999+00:00,8,7.800000190734863,28.89900016784668,34.21799850463867,1,1,1,7.800000190734863,28.89900016784668,34.21799850463867
1902675,37,2025-01-31 14:01:29.999999+00:00,9,8.800000190734863,28.895999908447266,34.220001220703125,1,1,1,8.800000190734863,28.895999908447266,34.220001220703125
1902675,37,2025-01-31 14:01:29.999999+00:00,10,9.899999618530272,28.89800071716309,34.22100067138672,1,1,1,9.899999618530272,28.89800071716309,34.22100067138672
1902675,37,2025-01-31 14:01:29.999999+00:00,11,15.300000190734863,28.899999618530277,34.220001220703125,1,1,1,15.300000190734863,28.899999618530277,34.220001220703125
1902675,37,2025-01-31 14:01:29.999999+00:00,12,25.899999618530277,28.902000427246094,34.222999572753906,1,1,1,25.899999618530277,28.902000427246094,34.222999572753906
1902675,37,2025-01-31 14:01:29.999999+00:00,13,35.099998474121094,27.856000900268555,34.744998931884766,1,1,1,35.099998474121094,27.856000900268555,34.744998931884766
1902675,37,2025-01-31 14:01:29.999999+00:00,14,45.79999923706055,24.50900077819824,34.667999267578125,1,1,1,45.79999923706055,24.50900077819824,34.667999267578125
1902675,37,2025-01-31 14:01:29.999999+00:00,15,55.20000076293945,22.732999801635746,34.57099914550781,1,1,1,55.20000076293945,22.732999801635746,34.57099914550781
1902675,37,2025-01-31 14:01:29.999999+00:00,16,65.5,21.700000762939453,34.62699890136719,1,1,1,65.5,21.700000762939453,34.62699890136719
1902675,37,2025-01-31 14:01:29.999999+00:00,17,75.69999694824219,20.02400016784668,34.749000549316406,1,1,1,75.69999694824219,20.02400016784668,34.749000549316406
1902675,37,2025-01-31 14:01:29.999999+00:00,18,85.0999984741211,19.00900077819824,34.902000427246094,1,1,1,85.0999984741211,19.00900077819824,34.902000427246094
1902675,37,2025-01-31 14:01:29.999999+00:00,19,95.5999984741211,19.21999931335449,35.18000030517578,1,1,1,95.5999984741211,19.21999931335449,35.18000030517578
1902675,37,2025-01-31 14:01:29.999999+00:00,20,106.0999984741211,18.420000076293945,35.1150016784668,1,1,1,106.0999984741211,18.420000076293945,35.1150016784668
1902675,37,2025-01-31 14:01:29.999999+00:00,21,115.3000030517578,17.93199920654297,35.14699935913086,1,1,1,115.3000030517578,17.93199920654297,35.14699935913086
1902675,37,2025-01-31 14:01:29.999999+00:00,22,125.1999969482422,16.73200035095215,35.03300094604492,1,1,1,125.1999969482422,16.73200035095215,35.03300094604492
1902675,37,2025-01-31 14:01:29.999999+00:00,23,135.3000030517578,16.253000259399414,35.0099983215332,1,1,1,135.3000030517578,16.253000259399414,35.0099983215332
1902675,37,2025-01-31 14:01:29.999999+00:00,24,145.5,16.13800048828125,35.0260009765625,1,1,1,145.5,16.13800048828125,35.0260009765625
1902675,37,2025-01-31 14:01:29.999999+00:00,25,155.39999389648438,15.515999794006348,34.944000244140625,1,1,1,155.39999389648438,15.515999794006348,34.944000244140625
1902675,37,2025-01-31 14:01:29.999999+00:00,26,165.0,14.623000144958496,34.882999420166016,1,1,1,165.0,14.623000144958496,34.882999420166016
