platform_number,profile_index,juld,level_index,PRES,TEMP,PSAL,PRES_QC,TEMP_QC,PSAL_QC,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
4903838,33,2025-03-03 14:16:22.999999+00:00,7,7.400000095367432,29.440000534057617,34.75600051879883,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,8,8.399999618530273,29.440000534057617,34.75600051879883,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,9,9.300000190734863,29.4379997253418,34.75699996948242,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,10,10.300000190734863,29.43899917602539,34.75699996948242,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,11,15.199999809265137,29.417999267578125,34.75600051879883,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,12,25.0,29.371999740600582,34.757999420166016,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,13,35.29999923706055,29.368000030517575,34.757999420166016,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,14,45.59999847412109,29.368000030517575,34.757999420166016,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,15,55.59999847412109,29.36000061035156,34.757999420166016,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,16,65.80000305175781,29.29599952697754,34.75,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,17,75.19999694824219,29.124000549316406,34.74800109863281,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,18,85.9000015258789,28.441999435424805,34.867000579833984,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,19,95.5,26.347999572753903,35.05799865722656,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,20,105.0999984741211,23.065000534057617,35.16299819946289,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,21,115.5999984741211,21.488000869750977,35.17900085449219,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,22,125.0,19.90999984741211,35.19599914550781,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,23,135.1999969482422,18.71299934387207,35.207000732421875,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,24,145.10000610351562,18.018999099731445,35.1879997253418,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,25,155.60000610351562,17.659000396728516,35.17599868774414,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,26,165.8000030517578,17.236000061035156,35.1609992980957,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,27,175.6999969482422,16.409000396728516,35.14799880981445,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,28,185.1999969482422,15.267999649047852,35.125999450683594,1,1,1,,,
4903838,33,2025-03-03 14:16:22.999999+00:00,29,195.3999938964844,14.694000244140623,35.11399841308594,1,1,1,,,
